Artist,Album,Date,Score,Genre
Denzel Curry,32 Zel / Planet Shrooms,20-Jun-15,6,"['planet shrooms', 'ep', 'self-released', 'trap rap', 'cloud rap', 'hip hop', '6/10']"
High On Fire,Luminiferous,20-Jun-15,8,"['eone', 'loud rock', 'stoner metal', '8/10']"
Florence + The Machine,"How Big, How Blue, How Beautiful",20-Jun-15,7,"['island', 'pop', '7/10']"
Florence + The Machine,"How Big, How Blue, How Beautiful",20-Jun-15,7,"['island', 'pop', '7/10']"
Muse,Drones,20-Jun-15,5,"['warner bros', 'rock', '5/10']"
Sun Kil Moon,Universal Themes,20-Jun-15,,"['caldo verde', 'singer-songwriter', 'slowcore', 'contemporary folk', 'spoken word']"
Jamie xx,In Colour,20-Jun-15,7,"['young turks', 'deep house', 'uk bass', 'future garage', 'electronic', '7/10']"
Thee Oh Sees,Mutilator Defeated At Last,20-Jun-15,6,"['castle face', 'rock', 'indie', '6/10']"
Algiers,Self-Titled,20-Jun-15,8,"['georgia', 'matador', 'rock', 'post-punk', 'gospel', 'blues', '8/10']"
Donnie Trumpet & the Social Experiment,Surf,20-Jun-15,4,"['surf', 'jazz', 'hip hop', 'neo-soul', '4/10']"
Unknown Mortal Orchestra,Multi-Love,20-Jun-15,8,"['jagjaguwar', 'pop', 'lo-fi', 'psychedelic soul', '8/10']"
A$AP Rocky,At.Long.Last.A$AP,20-Jun-15,5,"['new york', 'rca', 'cloud rap', 'pop rap', 'hip hop', '5/10']"
Hot Chip,Why Make Sense?,20-Jun-15,6,"['domino', 'uk', 'pop', 'indietronic', 'deep house', '6/10']"
Hop Along,Painted Shut,20-Jun-15,8,"['saddle creek', 'rock', 'indie pop', '8/10']"
YUNOREVIEW,15-May,20-Jun-15,,"['oddisee', 'my morning jacket', 'built to spill', 'ghost bath', 'ceremony', 'knxwledge', 'the story so far', 'sigh', 'pc music', 'roomful of teeth', 'elvis depressedly', 'tech n9ne', 'chelsea reject', 'mew']"
Dr. Yen Lo,Days With Dr. Yen Lo,20-Jun-15,6,"['days with dr. yen lo', 'new york', 'pavlov institute', 'hip hop', '6/10']"
Shamir,Ratchet,20-Jun-15,5,"['pop', 'pop rap', '5/10']"
Twenty One Pilots,Blurryface,20-Jun-15,4,"['fueled by ramen', 'pop', 'pop rap', 'gentrified reggae jams', 'dubstep fusion', '4/10']"
Prurient,Frozen Niagara Falls,20-Jun-15,8,"['profound lore', 'other', 'noise', 'progressive synth', 'dark ambient', 'death industrial', 'power electronics', 'electroacoustic', '8/10']"
Faith No More,Sol Invictus,20-Jun-15,6,"['reclamation!', 'alternative metal', 'loud rock', '6/10']"
Jim O'Rourke,Simple Songs,20-Jun-15,6,"['6/10', 'drag city', 'singer-songwriter', 'baroque pop', 'piano rock']"
Jim O'Rourke,Simple Songs,20-Jun-15,6,"['6/10', 'sacred bones', 'electronic', 'drone', 'idm', 'noise', 'progressive electronic']"
Snoop Dogg,Bush,20-Jun-15,5,"['5/10', 'doggystyle', 'synth funk', 'pop rap', 'hip hop']"
Holly Herndon,Platform,20-Jun-15,6,"['6/10', '4ad', 'art pop', 'electronic', 'idm', 'glitch pop', 'amsr', 'pop']"
Peste Noire,La Chaise-Dyable,20-Jun-15,7,"['7/10', 'la mesnie herlequin', 'black metal', 'folk', 'loud rock']"
Hiatus Kaiyote,Choose Your Weapon,20-Jun-15,5,"['5/10', 'sony', 'neo-soul', 'pop']"
The Tallest Man On Earth,Dark Bird Is Home,20-Jun-15,6,"['sweden', 'dead oceans', 'folk', 'singer-songwriter', '6/10']"
Wale,The Album About Nothing,20-Jun-15,4,"['dc', '4/10', 'mmg', 'pop rap', 'hip hop']"
Torres,Sprinter,20-Jun-15,5,"['5/10', 'partisan', 'singer-songwriter', 'rock', 'alternative']"
Torres,Sprinter,20-Jun-15,,"['travis bell', 'adorea', 'death grips', 'kendrick lamar', 'jay reatard', 'nails', 'ariel pink', 'prurient', 'lcd soundsystem', 'fka twigs', 'production']"
Torres,Sprinter,20-Jun-15,,"['travis bell', 'adorea', 'death grips', 'kendrick lamar', 'jay reatard', 'nails', 'ariel pink', 'prurient', 'lcd soundsystem', 'fka twigs', 'production']"
Torres,Sprinter,20-Jun-15,,"['music evangelism', 'role of music critic']"
Torres,Sprinter,20-Jun-15,,"['music evangelism', 'role of music critic']"
YUNOREVIEW,15-Apr,20-Jun-15,,"['ceschi', 'best coast', 'botanist', 'atari teenage riot', 'the prodigy', 'nah', 'they might be giants', 'girl band', 'mumford & sons', 'raekwon', 'superheaven', 'marina and the diamonds', 'metz', 'six feet under']"
Kamasi Washington,The Epic,20-Jun-15,9,"['9/10', 'post-bop', 'jazz', 'other', 'brainfeeder']"
Blur,The Magic Whip,20-Jun-15,7,"['britpop', 'parlophone', '7/10', 'rock']"
Paul de Jong,IF,20-Jun-15,7,"['temporary residence', 'folktronica', 'other', 'avant-folk', 'ambient', 'modern classical', '7/10']"
Colin Stetson and Sarah Neufeld,Never Were the Way She Was,20-Jun-15,8,"['never were the way she was', '8/10', 'constellation', 'other', 'experimental', 'modern classical', 'post-minimalism']"
Yelawolf,Love Story,20-Jun-15,3,"['hip hop', 'shady records', 'country', 'rap', '3/10']"
Tribulation,The Children of the Night,20-Jun-15,7,"['sweden', '7/10', 'century media', 'black metal', 'heavy metal', 'death metal', 'thrash metal']"
Toro Y Moi,What For?,20-Jun-15,7,"['7/10', 'car park', 'disco', 'indie pop', 'lo-fi', 'psychedelic pop']"
Marching Church,This World Is Not Enough,20-Jun-15,6,"['sacred bones', '6/10', 'denmark', 'post-punk', 'noise rock', 'experimental rock', 'art punk']"
Alabama Shakes,Sound & Color,20-Jun-15,8,"['8/10', 'ato', 'southern rock', 'soul', 'garage rock']"
Young Thug,Barter 6,20-Jun-15,5,"['atlanta', '5/10', 'atlantic', 'trap rap', 'cloud rap', 'pop rap', 'hip hop']"
Dance Gavin Dance,Instant Gratification,20-Jun-15,1,"['1/10', 'rise', 'post-hardcore', 'math rock']"
Squarepusher,Damogen Furies,20-Jun-15,6,"['6/10', 'warp', ""drum 'n' bass"", 'idm', ""drill 'n' bass"", 'glitch', 'electronic']"
The Mountain Goats,Beat The Champ,20-Jun-15,8,"['8/10', 'merge', 'indie folk', 'singer-songwriter']"
Drenge,Undertow,20-Jun-15,5,"['5/10', 'infectious', 'garage rock', 'post-punk']"
Death Cab For Cutie,Kintsugi,20-Jun-15,5,"['5/10', 'atlantic', 'indie rock']"
"Tyler, The Creator",Cherry Bomb,20-Jun-15,3,"['odd future', '3/10', 'neo-soul', 'hardcore hip hop']"
Twin Shadow,Eclipse,20-Jun-15,3,"['3/10', 'warner bros', 'alternative r&b', 'arena rock', 'nostalgia']"
"Tyler, The Creator","""Fucking Young""",20-Jun-15,,"['perfect', 'death camp', 'track', 'neo-soul', 'rap rock']"
YUNOREVIEW,15-Mar,20-Jun-15,,"['buck gooter', ""the spider's eyes"", 'carach angren', 'this is no fairytale', 'gay kiss', 'preservation measures', 'chon', 'grow', 'freddie gibbs', 'pronto', 'persona', 'mello music group', 'da mafia 6ix', 'watch what u wish...', ""noel gallagher's high flying birds"", 'chasing yesterday', 'hot sugar', ""god's hand"", 'jack u', 'madeon', 'adventure', 'simon joyner', 'grass branch & bone']"
Shlohmo,Dark Red,20-Jun-15,6,"['6/10', 'true panther sounds', 'trap', 'wonky', 'horror synth', 'electronic']"
Young Fathers,White Men Are Black Men Too,20-Jun-15,8,"['scotland', '8/10', 'big dada', 'lo-fi pop', 'noise pop', 'experimental hip hop', 'soul']"
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",20-Jun-15,5,"['5/10', 'mom + pop', 'indie rock', 'singer-songwriter', 'garage rock']"
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",20-Jun-15,5,"['5/10', 'mom + pop', 'indie rock', 'singer-songwriter', 'garage rock']"
Billy Woods,"Today, I Wrote Nothing",20-Jun-15,7,"['new york', '7/10', 'backwoodz studioz', 'hardcore hip hop', 'abstract hip hop']"
Portico,Living Fields,20-Jun-15,3,"['3/10', 'ninja tune', 'art pop', 'alternative r&b']"
Purity Ring,Another Eternity,20-Jun-15,4,"['4/10', '4ad', 'synth pop', 'electro pop']"
Earl Sweatshirt,"I Don't Like Shit, I Don't Go Outside",20-Jun-15,6,"['6/10', 'tan cressida', 'abstract hip hop', 'hardcore hip hop', 'cloud rap']"
Earl Sweatshirt,"I Don't Like Shit, I Don't Go Outside",20-Jun-15,6,"['6/10', 'tan cressida', 'abstract hip hop', 'hardcore hip hop', 'cloud rap']"
Liturgy,The Ark Work,20-Jun-15,7,"['7/10', 'thrill jockey', 'experimental rock', 'transcendental black metal', 'progressive rock', 'electronic']"
Action Bronson,Mr. Wonderful,20-Jun-15,5,"['new york', '5/10', 'atlantic', 'east coast hip hop', 'rap rock', 'blues rock', 'pop rap']"
Godspeed You! Black Emperor,"Asunder, Sweet and Other Distress",20-Jun-15,6,"['6/10', 'constellation', 'post-rock', 'experimental rock']"
Sufjan Stevens,Carrie & Lowell,20-Jun-15,7,"['7/10', 'asthmatic kitty', 'singer-songwriter', 'contemporary folk', 'indie folk', 'chamber folk']"
Death Grips,The Powers That B,20-Jun-15,9,"['niggas on the moon', 'jenny death', 'third worlds', '9/10', 'harvest', 'industrial hip hop', 'experimental hip hop', 'hardcore punk']"
Laura Marling,Short Movie,20-Jun-15,7,"['7/10', 'ribbon', 'contemporary folk', 'singer-songwriter', 'folk rock', 'indie folk', 'psychedelic folk']"
Kendrick Lamar,To Pimp A Butterfly,20-Jun-15,10,"['10/10', 'top dawg entertainment', 'conscious hip hop', 'hardcore hip hop', 'jazz rap', 'abstract hip hop']"
Ratking,700-FILL,20-Jun-15,4,"['mixtape', '4/10', 'xl', 'east coast hip hop', 'hardcore hip hop', 'abstract hip hop', 'rap']"
Modest Mouse,Strangers To Ourselves,20-Jun-15,5,"['5/10', 'glacial pace', 'indie rock', 'indie pop', 'alternative rock']"
of Montreal,Aureate Gloom,20-Jun-15,6,"['6/10', 'athens', 'georgia', 'polyvinyl', 'psychedelic rock', 'hard rock', 'glam rock', 'experimental pop', 'garage rock', 'indie rock']"
Muse,"""Psycho""",20-Jun-15,,"['track', 'rock']"
Death Grips,"""On GP""",20-Jun-15,,"['track', 'experimental hip hop', 'rap rock']"
Clarence Clarity,No Now,20-Jun-15,8,"['no now', '8/10', 'bella union', 'alternative r&b', 'experimental pop', 'psychedelic pop', 'glitch']"
Lightning Bolt,Fantasy Empire,20-Jun-15,7,"['7/10', 'thrill jockey', 'rhode island', 'noise rock', 'neo-psychedelia', 'math rock', 'experimental rock']"
Steven Wilson,Hand. Cannot. Erase.,20-Jun-15,6,"['6/10', 'kscope', 'progressive rock', 'art rock', 'pop rock']"
Heems,Eat Pray Thug,20-Jun-15,4,"['4/10', 'megaforce', 'pop rap', 'trap rap', 'east coast hip hop', 'conscious hip hop', 'abstract hip hop']"
Kanye West,"""All Day""",20-Jun-15,,"['track', 'rap', 'hip hop']"
Leviathan,Scar Sighted,20-Jun-15,8,"['8/10', 'myke c-town', 'profound lore', 'black metal', 'death metal', 'progressive metal', 'experimental metal']"
Pile,You're Better Than This,20-Jun-15,6,"[""you're better than this"", '6/10', 'exploding in sound', 'indie rock', 'post-hardcore']"
Cannibal Ox,Blade of the Ronin,20-Jun-15,5,"['new york', '5/10', 'ihiphop distribution', 'hardcore hip hop', 'rap']"
Fashawn,The Ecology,20-Jun-15,5,"['5/10', 'mass appeal', 'pop rap', 'hardcore hip hop', 'west coast hip hop']"
Jeff Rosenstock,We Cool?,20-Jun-15,8,"['8/10', 'side one dummy', 'pop punk', 'indie rock', 'alt-country', 'singer-songwriter']"
Swain,Heavy Dancing EP,20-Jun-15,7,"['swain', 'heavy dancing', 'ep', '7/10', 'ruins records', 'hardcore punk', 'grunge']"
YUNOREVIEW,15-Feb,20-Jun-15,,"['chief keef', 'sorry 4 the weight', 'cakes da killa', '#imf', 'jeff bridges', 'sleeping tapes', 'strange mountain', 'glass clouds ii', 'a place to bury strangers', 'transfixation', 'primitive man', 'home is where the hatred is', 'an autumn for crippled children', 'the long goodbye', 'susanne sundfor', 'ten love songs', 'torche', 'restarter', 'krill', 'a distant fist unclenching', 'the body', 'thou', 'you whom i have always hated']"
Dan Deacon,Gliss Riffer,20-Jun-15,5,"['5/10', 'domino', 'indietronic', 'electronic', 'neo-psychedelia', 'glitch pop']"
Negură Bunget,Tău,20-Jun-15,5,"['tau', '5/10', 'prophecy productions', 'black metal', 'progressive black metal', 'folk metal']"
Big Sean,Dark Sky Paradise,20-Jun-15,,"['pop rap', 'hip hop', 'no']"
The Pop Group,Citizen Zombie,20-Jun-15,9,"['citizen zombie', '9/10', 'freaks r us', 'post-punk', 'experimental rock', 'art punk', 'noise rock']"
Screaming Females,Rose Mountain,20-Jun-15,6,"['6/10', 'daily guru', '5/10', 'don giovanni', 'indie rock', 'punk rock']"
THEESatisfaction,EarthEE,20-Jun-15,7,"['7/10', 'sub pop', 'alternative r&b', 'neo-soul', 'abstract hip hop']"
Adventures,Supersonic Home,20-Jun-15,7,"['7/10', 'run for cover', 'power pop', 'emo', 'indie pop', 'indie rock']"
BADBADNOTGOOD & Ghostface Killah,Sour Soul,20-Jun-15,6,"['collaboration', 'sour soul', '6/10', 'lex records', 'hardcore hip hop', 'jazz rap']"
Drake,"If You're Reading This, It's Too Late",20-Jun-15,8,"[""if you're reading this it's too late"", 'ymcmb', 'pop rap', 'contemporary r&b', '8/10']"
Your Old Droog,Kinison EP,20-Jun-15,8,"['ep', 'new york', 'self-released', 'hardcore hip hop', 'east coast hip hop', 'rap', '8/10']"
Pond,"Man, It Feels Like Space Again",20-Jun-15,6,"['australia', 'modular', '6/10', 'psychedelic pop', 'garage rock', 'neo-psyche']"
Shape of Despair,Monotony Fields,22-Jun-15,,"['finland', 'loud rock', 'metal', 'funeral doom', 'new music']"
The Chemical Brothers,"""Under Neon Lights"" (ft. St. Vincent)",22-Jun-15,,[]
The Chemical Brothers,"""Under Neon Lights"" (ft. St. Vincent)",22-Jun-15,,[]
John Hulburt,The Freak on the Black Harley,22-Jun-15,,"['solo', 'acoustic', 'singer-songwriter', 'john hulburt', 'the freak on the black harley', 'opus iii', 'tompkins square', 'folk', 'guitar']"
John Hulburt,The Freak on the Black Harley,22-Jun-15,,"['solo', 'acoustic', 'singer-songwriter', 'john hulburt', 'the freak on the black harley', 'opus iii', 'tompkins square', 'folk', 'guitar']"
Future Islands,"""A Song for Our Grandfathers"" (Video)",22-Jun-15,,"['video', 'singles', '4ad', 'pop']"
Future Islands,"""A Song for Our Grandfathers"" (Video)",22-Jun-15,,"['video', 'singles', '4ad', 'pop']"
Violet Cold,Desperate Dreams,22-Jun-15,,"['new music', 'azerbaijan', 'loud rock', 'black metal', 'electronic']"
Violet Cold,Desperate Dreams,22-Jun-15,,"['new music', 'azerbaijan', 'loud rock', 'black metal', 'electronic']"
KEN mode,Success,22-Jun-15,8,"['canada', 'season of mist', 'loud rock', 'sludge metal', 'post-hardcore', '8/10']"
Thundercat,The Beyond / Where the Giants Roam,23-Jun-15,6,"['where the giants roam', 'brainfeeder', 'jazz', 'neo-soul', 'other', '6/10']"
Thundercat,The Beyond / Where the Giants Roam,23-Jun-15,6,"['where the giants roam', 'brainfeeder', 'jazz', 'neo-soul', 'other', '6/10']"
Low,"""No Comprende""",23-Jun-15,,"['ones and sixes', 'track', 'sub pop', 'new music', 'slowcore', 'rock']"
Jay Rock,"""Money Trees Deuce"" (Video)",23-Jun-15,,"['track', 'video', 'rap', 'hip hop', 'new music', 'top dawg']"
Eric Copeland,"""Cheap Treat"" (Panda Bear Version)",23-Jun-15,,"['cheap treat', 'track', 'remix', 'new music', 'dfa', 'electronic', 'neo-psychedelia', 'plunderphonics']"
Eric Copeland,"""Cheap Treat"" (Panda Bear Version)",23-Jun-15,,"['cheap treat', 'track', 'remix', 'new music', 'dfa', 'electronic', 'neo-psychedelia', 'plunderphonics']"
Guttersnipe,Demo,23-Jun-15,,"['uk', 'leeds', 'experimental rock', 'noise', 'other', 'new music']"
Les Rhinocéros,"""Coltun's Pinky Crusher""",23-Jun-15,,"[""coltun's pinky crusher"", 'track', 'tzadik', 'dc', 'experimental rock', 'avant-garde jazz', 'other', 'new music']"
Lil Ugly Mane,Third Side of Tape,24-Jun-15,8,"['compilation', 'self-released', 'richmond', 'hip hop', 'sound collage', 'other', '8/10']"
Alchimia,Aurora,25-Jun-15,,"['instant classic', 'new music', 'poland', 'seattle', 'jazz', 'free improvisation', 'other']"
Quelle Chris,"""Where the Wild Things Roam"" (Video)",25-Jun-15,,"['chris keys', 'where the wild things roam', 'track', 'single', 'video', 'hip hop', 'rap', 'detroit', 'mello music group', 'new music']"
Quelle Chris,"""Where the Wild Things Roam"" (Video)",25-Jun-15,,"['chris keys', 'where the wild things roam', 'track', 'single', 'video', 'hip hop', 'rap', 'detroit', 'mello music group', 'new music']"
Statik Selektah,"""Top Tier"" Ft. Sean Price, Bun B & Styles P",25-Jun-15,,"['bun b', 'styles p', 'lucky 7', 'top tier', 'track', 'new music', 'duck down', 'hip hop', 'rap', 'east coast']"
Statik Selektah,"""Top Tier"" Ft. Sean Price, Bun B & Styles P",25-Jun-15,,"['bun b', 'styles p', 'lucky 7', 'top tier', 'track', 'new music', 'duck down', 'hip hop', 'rap', 'east coast']"
Björk,Vulnicura Remix Project Pt. Two,25-Jun-15,,"['remix', 'rabit', 'untold', 'haxan cloak', 'one little indian', 'electronic', 'art pop', 'new music']"
Björk,Vulnicura Remix Project Pt. Two,25-Jun-15,,"['remix', 'rabit', 'untold', 'haxan cloak', 'one little indian', 'electronic', 'art pop', 'new music']"
Mutoid Man,Bleeder,25-Jun-15,,"['new music', 'rock', 'stoner', 'post-hardcore', 'sargent house', 'converge', 'cave in']"
Mutoid Man,Bleeder,25-Jun-15,,"['new music', 'rock', 'stoner', 'post-hardcore', 'sargent house', 'converge', 'cave in']"
Normil Hawaiians,"""Sianne Don't Work In A Factory""",25-Jun-15,,"['return of the ranters', 'track', 'new music', 'uk', 'post-punk', 'rock', 'upset the rhythm']"
Normil Hawaiians,"""Sianne Don't Work In A Factory""",25-Jun-15,,"['return of the ranters', 'track', 'new music', 'uk', 'post-punk', 'rock', 'upset the rhythm']"
Vince Staples,Summertime '06,25-Jun-15,6,"['west coast', 'hip hop', 'rap', 'def jam', '6/10']"
CITIZEN ,EVERYBODY IS GOING TO HEAVEN,6/26/2015,3,"['2015', 'RUN FOR COVER', 'ALTERNATIVE ROCK, EMO, POST-HARDCORE, GRUNGE']"
Exoteric Continent,"""Agrupació Civil""",26-Jun-15,,"['track', 'referendum', 'new music', 'hospital productions', 'techno', 'industrial', 'noise', 'electroacoustic', 'electronic', 'spain']"
Citizen,Everybody Is Going To Heaven,26-Jun-15,3,"['run for cover', 'rock', 'emo', 'post-hardcore', 'grunge', '3/10']"
Czarface,Every Hero Needs a Villain,26-Jun-15,8,"['esoteric', 'inspectah deck', 'hip hop', 'rap', 'boom bap', 'brick', '8/10', 'every hero needs a villain']"
Corpo-Mente,Self-Titled,26-Jun-15,,"['new music', 'blood music', 'france', 'finland', 'loud rock', 'metal', 'opera', 'rock', 'trip hop', 'other']"
My Dead Girlfriend,"""彼女が冷たく笑ったら (prologue to the nine stages of change at the deceased remains)"" (Video)",27-Jun-15,,"['hades', 'nine stages of change at the deceased remains', 'shoegaze', 'dream pop', 'rock', 'japan', 'new music', 'n_ingen record', 'video']"
My Dead Girlfriend,"""彼女が冷たく笑ったら (prologue to the nine stages of change at the deceased remains)"" (Video)",27-Jun-15,,"['hades', 'nine stages of change at the deceased remains', 'shoegaze', 'dream pop', 'rock', 'japan', 'new music', 'n_ingen record', 'video']"
AGF & Various,A Deep Mysterious Tone,28-Jun-15,,"['antye greie-ripatti', 'finland', 'germany', 'japan', 'new music', 'a deep mysterious tone', 'electronic', 'glitch', 'spoken word', 'poetry', 'field recordings', 'other']"
Marsimoto,"""Illegalize It""",28-Jun-15,,"['germany', 'illegalize it', 'track', 'ring der nebelungen', 'green berlin', 'new music', 'hip hop', 'quasimoto']"
Marsimoto,"""Illegalize It""",28-Jun-15,,"['germany', 'illegalize it', 'track', 'ring der nebelungen', 'green berlin', 'new music', 'hip hop', 'quasimoto']"
Jamie Stewart (Xiu Xiu),"""Tzara Theme""",28-Jun-15,,"['tzara', 'theme', 'new music', 'track', 'film score', 'soundtrack', 'electronic', 'drone', 'noise', 'other']"
Jamie Stewart (Xiu Xiu),"""Tzara Theme""",28-Jun-15,,"['tzara', 'theme', 'new music', 'track', 'film score', 'soundtrack', 'electronic', 'drone', 'noise', 'other']"
Show Me a Dinosaur,"""Вьюга"" / ""Очаг""",28-Jun-15,,"['track', 'ochag', 'post-rock', 'blackgaze', 'rock', 'new music']"
Show Me a Dinosaur,"""Вьюга"" / ""Очаг""",28-Jun-15,,"['track', 'ochag', 'post-rock', 'blackgaze', 'rock', 'new music']"
Tobacco,The Exorcise Tape Instrumentals,28-Jun-15,,"['exorcise tape instrumentals', 'new music', 'electronic', 'synthpop', 'neo-psychedelia', 'instrumental', 'rad cult']"
Golden Rules,"""Never Die"" ft. Yasiin Bey",29-Jun-15,,"['uk', 'eric biddines', 'florida', 'new music', 'lex', 'hip hop', 'rap', 'soul', 'yasiin bey', 'mos def', 'never die', 'golden ticket']"
Prayers,"""Young Gods"" (Video)",29-Jun-15,,"['track', 'video', 'san diego', 'new music', 'electronic', 'darkwave', 'cholo goth', 'lasalle']"
DJ Donut King,"""Souljaphin""",29-Jun-15,,"['track', 'new music', 'juke', 'electronic', 'rap', 'comedy', 'other', ""soulja boy tell'em"", 'uv boi']"
DJ Donut King,"""Souljaphin""",29-Jun-15,,"['track', 'new music', 'juke', 'electronic', 'rap', 'comedy', 'other', ""soulja boy tell'em"", 'uv boi']"
True Neutral Crew,"""Remix of clipping.'s remix of This Song Is A Drug Deal by Foot Village""",29-Jun-15,,"['remix', 'this song is a drug deal', 'foot village', 'without a trace', 'mirror universe', 'hip hop', 'rap', 'experimental']"
Boogie,The Reach,29-Jun-15,,"['mixtape', 'new music', 'hip hop', 'rap', 'west coast']"
Boogie,The Reach,29-Jun-15,,"['mixtape', 'new music', 'hip hop', 'rap', 'west coast']"
Hanz,Reducer,29-Jun-15,,"['tri angle records', 'new music', 'instrumental hip hop', 'electronic', 'experimental']"
Pissgrave,"""Suicide Euphoria""",29-Jun-15,,"['track', 'new music', 'profound lore', 'loud rock', 'death metal']"
Denzel Curry,"""6 Billion Dollar Nigga""",29-Jun-15,,"['track', 'new music', 'florida', 'hip hop', 'rap']"
Denzel Curry,"""6 Billion Dollar Nigga""",29-Jun-15,,"['track', 'new music', 'florida', 'hip hop', 'rap']"
Nicolas Jaar,"""Swim"" / ""Mistress""",29-Jun-15,,"['swim', 'mistress', 'ep', 'new music', 'other people', 'electronic', 'microhouse', 'ambient']"
Wavves x Cloud Nothings,No Life for Me,29-Jun-15,,"['cloud nothings', 'dylan baldi', 'california', 'ohio', 'no life for me', 'collaboration', 'new music', 'rock', 'noise pop', 'indie', 'garage punk']"
The Clearing Path,"""Holy Waters""",30-Jun-15,,"['watershed between earth and firmament', 'italy', 'avantgarde', 'new music', 'black metal', 'metalcore']"
Premiere: Ondatrópica,"""Descarga Trópica"" (Live)",30-Jun-15,,"['new music', 'live', 'video', 'cumbia', 'world music', 'colombia', 'folk']"
Kendrick Lamar,"""Alright"" (Video)",30-Jun-15,,"['track', 'video', 'to pimp a butterfly', 'top dawg', 'hip hop', 'rap', 'new music']"
Abyssion,Luonnon harmonia ja vihreä liekki,30-Jun-15,,"['new music', 'svart', 'finland', 'loud rock', 'post-metal', 'psychedelic']"
Myrkur,"""Onde Børn""",30-Jun-15,,"['new music', 'amalie bruun', 'relapse', 'black metal', 'loud rock', 'atmospheric', 'onde born']"
Desaparecidos,Payola,30-Jun-15,5,"['conor oberst', 'epitaph', 'rock', 'post-hardcore', 'emo', '5/10']"
RP Boo,"""Your Choice"" (Video)",30-Jun-15,,"['track', 'fingers bank pads and shoe prints', 'planet mu', 'new music', 'chicago', 'electronic', 'footwork', 'juke']"
Beach House,"""Sparks""",1-Jul-15,,"['depression cherry', 'baltimore', 'new music', 'sub pop', 'pop', 'dream pop', 'shoegaze']"
Beach House,"""Sparks""",1-Jul-15,,"['new music', 'uk', 'electronic', 'noise', 'orchestral']"
Olimpia Splendid,"""Häpeän huilut"" (Video)",1-Jul-15,,"['track', 'video', 'finland', 'new music', 'fonal', 'noise pop', 'rock']"
L'Orange & Kool Keith,"""Twenty Fifty Three"" ft. Mr. Lif",1-Jul-15,,"['new music', 'track', 'twenty fifty three', 'mr. lif', 'time? astonishing', 'mello music group', 'collaboration', 'hip hop', 'rap']"
Blue Smiley,ok,1-Jul-15,,"['third floor tapes', 'new music', 'lo-fi indie', 'rock', 'experimental pop']"
King Los,"God, Money, War",1-Jul-15,6,"['baltimore', 'rca', 'hip hop', 'rap', 'east coast', '6/10']"
Premiere: Dumbo Gets Mad,"""Misanthropulsar""",2-Jul-15,,"['track', 'new music', 'italy', 'pop', 'neo-psychedelia', 'funk']"
Premiere: Dumbo Gets Mad,"""Misanthropulsar""",2-Jul-15,,"['track', 'new music', 'italy', 'pop', 'neo-psychedelia', 'funk']"
Refused,Freedom,2-Jul-15,4,"['epitaph', 'post-hardcore', 'rock', 'glam', '4/10']"
Meek Mill,Dreams Worth More Than Money,3-Jul-15,7,"['mmg', 'hip hop', 'pop rap', 'trap', 'philadelphia', '7/10']"
Смоки Мо,"""Ноздри"" (Remix)",4-Jul-15,,"['cмоки mо', 'hоздри', 'hip hop', 'rap', 'track', 'remix']"
Josephine Foster & The Victor Herrero Band,Anda Jaleo / Perlas,6-Jul-15,,"['anda jaleo', 'perlas', 'reissue', 'compilation', 'new music', 'fire', 'folk', 'Spain', 'acoustic']"
Josephine Foster & The Victor Herrero Band,Anda Jaleo / Perlas,6-Jul-15,,"['anda jaleo', 'perlas', 'reissue', 'compilation', 'new music', 'fire', 'folk', 'Spain', 'acoustic']"
Underjordiska / Spectral Lore,Split,6-Jul-15,,"['split', 'new music', 'sweden', 'greece', 'loud rock', 'atmospheric black metal', 'dark ambient']"
IGLOOGHOST,PLACES U HIDE... [ S K E T C H E S ],6-Jul-15,,"['sketches', 'compilation', 'new music', 'uk', 'electronic', 'juke', 'footwork']"
Czarface,"""Sgt. Slaughter"" (Video)",6-Jul-15,,"['7l', 'esoteric', 'sgt. slaughter', 'video', 'new music', 'every hero needs a villain', 'brick', 'hip hop', 'rap', 'boom bap']"
Christian Fitness,"""The Harder It Hits""",6-Jul-15,,"['the harder it hits', 'track', 'prescriptions music', 'new music', 'post-hardcore', 'rock', 'uk']"
Statik Selektah,"""All You Need"" ft. Action Bronson, Elle Varner & Ab-Soul",6-Jul-15,,"['elle varner', 'ab-soul', 'all you need', 'track', 'new music', 'lucky 7', 'duck down', 'hip hop', 'rap', 'east coast']"
Miguel,Wildheart,6-Jul-15,5,"['rca', 'pop', 'contemporary r&b', '5/10']"
Ought,"""Beautiful Blue Sky""",7-Jul-15,,"['beautiful blue sky', 'track', 'new music', 'sun coming down', 'constellation', 'rock', 'post-punk']"
Ought,"""Beautiful Blue Sky""",7-Jul-15,,"['beautiful blue sky', 'track', 'new music', 'sun coming down', 'constellation', 'rock', 'post-punk']"
Helen,"""Motorcycle""",7-Jul-15,,"['new music', 'track', 'the original face', 'kranky', 'pop', 'dream pop']"
Helen,"""Motorcycle""",7-Jul-15,,"['new music', 'track', 'the original face', 'kranky', 'pop', 'dream pop']"
Chelsea Wolfe,"""After the Fall""",8-Jul-15,,"['abyss', 'sargent house', 'new music', 'track', 'singer-songwriter', 'rock', 'darkwave']"
