Artists,Album,Date,Year,Score,Tags,Genres
john frusciante,PBX FUNICIULAR INTAGLIO ZONE,16-Oct-12,2012,2,"['record collection', 'experimental rock, art pop, lo-fi, breakbeat electronica, drum and bass']","pop,electronic,rock,experimental"
between the buried and me,THE PARALLAX II: FUTURE SEQUENCE,19-Oct-12,2012,4,"['metal blade', 'progressive metal, progressive rock, metalcore']","rock,metal"
daphni,JIAOLONG,19-Oct-12,2012,6,"['merge records', 'tech house, tribal house']",house
blu & exile,GIVE ME MY FLOWERS WHILE I CAN STILL SMELL THEM,20-Oct-12,2012,7,"['dirty science', 'west coast hip hop, boom bap, conscious hip hop']",hip hop
kendrick lamar,"GOOD KID, M.A.A.D. CITY",22-Oct-12,2012,9,"['interscope', 'west coast hip hop, conscious hip hop']",hip hop
karriem riggins,ALONE TOGETHER,23-Oct-12,2012,8,"['stonesthrow', 'instrumental hip hop, jazz, beatmusic']","hip hop,jazz"
3:33,IN THE MIDDLE OF INFINITY,24-Oct-12,2012,6,"['parallel thought', 'beatmusic', 'instrumental hip hop', 'dark ambient', 'drone']","hip hop,ambient"
pig destroyer,BOOK BURNER,24-Oct-12,2012,6,"['relapse', 'grindcore, metal, mosh riffs and mosh riffs and mosh riffs']",metal
hoax,3RD EP,26-Oct-12,2012,6,"['painkiller', 'hardcore punk']",punk
chelsea wolfe,UNKNOWN ROOMS: A COLLECTION OF ACOUSTIC SONGS,26-Oct-12,2012,7,"['sergeant house', 'neofolk, alternative singer-songwriter, ethereal wave']","house,singer-songwriter,folk"
andy stott,LUXURY PROBLEMS,29-Oct-12,2012,7,"['modern love', 'dub techno, minimal techno, ambient techno, there are elements of drone spattered throughout this album, too...']","techno,ambient"
mac demarco,2,30-Oct-12,2012,6,"['captured tracks', 'indie pop, indie rock, lo-fi, jangle pop']","pop,rock"
the bad plus,MADE POSSIBLE,31-Oct-12,2012,8,"['eone music', 'jazz fusion, avant-garde jazz, jazz']",jazz
the soft moon,ZEROS,1-Nov-12,2012,4,"['captured tracks', 'gothic rock, post-punk, synth punk, cold wave']","rock,punk"
black moth super rainbow,COBRA JUICY,1-Nov-12,2012,5,"['rad cult', 'neo-psychedelia, indie electronic']",electronic
pile,DRIPPING,2-Nov-12,2012,8,"['exploding in sound records', 'post-hardcore, indie rock']",rock
neurosis,HONOR FOUND IN DECAY,5-Nov-12,2012,7,"['neurot', 'atmospheric sludge metal, post rock, a bit of folk influence as well']","rock,metal,folk"
titus andronicus,LOCAL BUSINESS,7-Nov-12,2012,6,"['xl', 'indie rock, punk, folk punk, pop punk, the boss']","pop,rock,punk,folk"
the secret,AGNUS DEI,8-Nov-12,2012,5,"['southern lord', 'hardcore punk, crust punk, sludge metal, metalcore, black metal']","punk,metal"
bat for lashes,THE HAUNTED MAN,8-Nov-12,2012,7,"['parlophone', 'art pop, synth pop, indie pop, dream pop, chamber pop']",pop
brian eno,LUX,12-Nov-12,2012,6,"['warp', 'ambient, electronic']","electronic,ambient"
crystal castles,III,13-Nov-12,2012,4,"['fiction & casablanca & universal rebpublic', 'electronic, electropop, dream pop, darkened dancepop']","pop,electronic,dance"
jessica pratt,JESSICA PRATT,14-Nov-12,2012,7,"['birth records', 'singer-songwriter, contemporary folk']","singer-songwriter,folk"
ratking,WIKI93,15-Nov-12,2012,5,"['xl recordings', 'alternative hip hop, hardcore hip hop']",hip hop
deftones,KOI NO YOKAN,15-Nov-12,2012,6,"['reprise', 'alternative metal, shoegaze, alternative rock']","rock,metal"
vessel,ORDER OF NOISE,16-Nov-12,2012,7,"['triangle records', 'minimal techno, dub, idm, ambient']","techno,ambient"
"action bronson<,>the alchemist",RARE CHEANDELIERS,16-Nov-12,2012,8,"['vice', 'hardcore hip hop, east coast hip hop']",hip hop
goat,WORLD MUSIC,19-Nov-12,2012,5,"['rocket', 'psychedelic rock, afrobeat, garage rock']","rock,psychedelic"
holly herndon,MOVEMENT,20-Nov-12,2012,7,"['rvng intl.', 'experimental, techno, house']","house,techno,experimental"
captain murphy,DUALITY,21-Nov-12,2012,7,"['self-released', 'experimental hip hop']","hip hop,experimental"
the evens,THE ODDS,22-Nov-12,2012,8,"['dischord records', 'indie, folk punk, ""d.c. sound"", post-post-hardcore']","punk,folk"
tim hecker and daniel lopatin,INSTRUMENTAL TOURIST,25-Nov-12,2012,5,"['software', 'ambient, drone, experimental, eai, noise, glitch, progressive electronic']","electronic,ambient,experimental"
angel olsen,HALF WAY HOME,27-Nov-12,2012,7,"['bathetic', 'singer-songwriter, indie folk, contemporary folk, alt-country']","singer-songwriter,folk,country"
macintosh plus,FLORAL SHOPPE,28-Nov-12,2012,4,"['beer on the rug', 'plunderphonics, experimental, ambient, synth funk, chopped & screwed']","funk,ambient,experimental"
heems,WILD WATER KINGDOM,29-Nov-12,2012,5,"['greedhead', 'east coast hip hop, abstract hip hop, cloud rap, water rap']",hip hop
code orange kids,LOVE IS LOVE,30-Nov-12,2012,6,"['return to dust', 'deathwish inc.', 'sludge metal, hardcore punk']","punk,metal"
wu-tang clan,WU-TANG CLAN,1-Dec-12,2012,6,"['eone', 'east coast hip hop, hardcore hip hop, gangsta rap']",hip hop
scott walker,BISH BOSCH,4-Dec-12,2012,7,"['4ad', 'experimental rock, singer-songwriter, dark ambient, weirdmeoutstuff']","ambient,rock,experimental,singer-songwriter"
dragged into sunlight,WIDOWMAKER,5-Dec-12,2012,6,"[""prosthetic records, sludge metal, doom metal, death metal, death doom metal, maybe there's some black metal in there as well""]",metal
roomful of teeth,ROOMFUL OF TEETH,6-Dec-12,2012,7,"['new amsterdam records', 'experimental choral music, tuvan throat singing, a capella, classical']",experimental
p.o.s,WE DON'T EVEN LIVE HERE,7-Dec-12,2012,5,"['rhymesayers', 'conscious hip hop,']",hip hop
miguel,KALEIDOSCOPE DREAM,10-Dec-12,2012,6,"['rca', 'contemporary r&b']",r&b
big boi,VICIOUS LIES AND DANGEROUS RUMORS,17-Dec-12,2012,5,"['def jam', 'southern hip hop, pop rap']","hip hop,pop"
the game,JESUS PIECE,18-Dec-12,2012,5,"['interscope', 'west coast hip hop, hardcore hip hop, gangsta rap, pop rap']","hip hop,pop"
chief keef,FINALLY RICH,19-Dec-12,2012,4,"['interscope', 'trap rap', 'hip hop']",hip hop
burial,TRUANT,20-Dec-12,2012,8,"['rough sleeper', 'hyperdub', 'future garage, dubstep, 2-step', 'electronic']",electronic
lianne la havas,IS YOUR LOVE BIG ENOUGH?,22-Dec-12,2012,7,"['warner united kingdom', 'neo-soul', 'pop soul', 'contemporary folk']","pop,soul,folk"
milo,THINGS THAT HAPPEN AT DAY & THINGS THAT HAPPEN AT NIGHT,7-Jan-13,2013,8,"['hellyre club', 'abstract hip hop, experimental hip hop, cloud rap, spoken word']","hip hop,experimental"
a$ap rocky,LONG.LIVE.A$AP,8-Jan-13,2013,7,"['rca', 'east coast hip hop, southern hip hop, cloud rap, pop rap']","hip hop,pop"
circle takes the square,DECOMPOSITIONS: VOLUME NUMBER ONE,10-Jan-13,2013,6,"['gatepost recordings', 'sluge-esque screamo, post-hardcore', 'metal']",metal
the progressive era,PEEP: THE APROCALYPSE,11-Jan-13,2013,8,"['self-released', 'hardcore hip hop, east coast hip hop, jazz rap']","hip hop,jazz"
toro y moi,ANYTHING IN RETURN,14-Jan-13,2013,4,"['carpark', 'synth funk, synth pop, dance pop']","pop,dance,funk"
yo la tengo,FADE,15-Jan-13,2013,7,"['matador', 'indie rock, dream pop, psychedelic rock, krautrock, jangle pop']","pop,rock,psychedelic"
foxygen,WE ARE THE 21ST CENTURY AMBASSADORS OF PEACE & MAGIC,16-Jan-13,2013,8,"['jagjaguwar', 'glam rock, indie pop, psychedelic pop, garage pop, folk rock, rockabilly']","pop,rock,psychedelic,folk"
villagers,{AWAYLAND},17-Jan-13,2013,7,"['domino', 'folk']",folk
cult of luna,VERTIKAL,21-Jan-13,2013,5,"['indie', 'atmospheric sludge metal, post-hardcore, post-rock, post-metal']","rock,metal"
nosaj thing,HOME,22-Jan-13,2013,5,"['innovative leisure', 'ambient pop, future garage, wonky']","pop,ambient"
this town needs guns,13.0.0.0.0,23-Jan-13,2013,7,"['sargent house', 'math rock, indie rock, emo']","house,rock"
comadre,COMADRE ,24-Jan-13,2013,8,"[""band's merch"", 'hardcore punk, screamo']",punk
buke and gase,GENERAL DOME,25-Jan-13,2013,8,"['brassland', 'noise pop, indie rock, experimental folk']","pop,rock,experimental,folk"
local natives,HUMMINGBIRD,28-Jan-13,2013,5,"['frenchkiss', 'indie rock, chamber pop, indie folk']","pop,rock,folk"
california x,CALIFORNIA X ,30-Jan-13,2013,6,"['don giovanni', 'indie rock, alternative rock, noise rock, stoner rock (slightly)']",rock
tomahawk,ODDFELLOWS,31-Jan-13,2013,6,"['ipecac', 'experimental rock, alternative rock, mr. bungle vibes, patton-core']","rock,experimental"
tegan and sara,HEARTTHROB,4-Feb-13,2013,3,"['warner bros.', 'synth pop, electro pop, top-40 magic']",pop
cakes da killa,THE EULOGY,5-Feb-13,2013,8,"['mishka', 'hip hop']",hip hop
dumbo gets mad,BAD PANDA RECORDS,6-Feb-13,2013,6,"['psychadelic rock', 'pop']","pop,rock"
unknown mortal orchestra,II,7-Feb-13,2013,7,"['jagjaguwar', 'neo-psychedelia, lo-fi, psych pop, poppy funky goodtimes']","pop,funk"
my bloody valentine,MBV,7-Feb-13,2013,8,"['self-released', 'shoegaze, dream pop, experimental rock, noise pop, neo-psychedelia']","pop,rock,experimental"
adam green & binki shapiro,ADAM GREEN & BINKI SHAPIRO ,9-Feb-13,2013,6,"['rounder records', 'baroque pop, twee pop, cutesy slacker duets']",pop
the underachievers,INDIGOISM,11-Feb-13,2013,7,"['brainfeeder', 'conscious hip hop, hardcore hip hop, abstract hip hop, cloud rap']",hip hop
veronica falls,WAITING FOR SOMETHING TO HAPPEN,13-Feb-13,2013,6,"['slumberland records', 'jangle pop, twee pop']",pop
foals,HOLY FIRE,14-Feb-13,2013,5,"['warner united kingdom', 'indie rock, dream pop, dance rock, post-punk, slightly post-rock-ish moment']","pop,dance,rock,punk"
pissed jeans,HONEYS,15-Feb-13,2013,7,"['sub pop', 'noise rock, post-hardcore, hardcore punk']","pop,rock,punk"
grouper,THE MAN WHO DIED IN HIS BOAT,16-Feb-13,2013,7,"['kranky', 'drone, ambient, dream pop, singer-songwriter, lo-fi, psychedelic folk']","pop,ambient,psychedelic,singer-songwriter,folk"
portal,VEXOVOID,19-Feb-13,2013,5,"['profound lore', 'death metal, technical death metal, noise metal, black metal']",metal
beach fossils,CLASH THE TRUTH,20-Feb-13,2013,8,"['captured tracks', 'jangle pop, indie rock, dream pop, indie pop, beach guitar magic, a little bit of post-punk here and there, kinda shoegaze']","pop,rock,punk"
nick cave and the bad seeds,PUSH THE SKY AWAY,21-Feb-13,2013,5,"['bad seed', 'singer-songwriter, art rock, chamber pop,']","pop,rock,singer-songwriter"
iceage,YOU'RE NOTHING,22-Feb-13,2013,8,"['matador', 'hardcore punk, post-punk, noise rock']","rock,punk"
atoms for peace,AMOK,26-Feb-13,2013,7,"['xl', 'glitch pop, idm, experimental pop, experimental rock, electronic thom yorke magic']","pop,electronic,rock,experimental"
grave babies,CRUSHER,27-Feb-13,2013,7,"['hardly art', 'shoegaze, noise pop, noise rock, post-punk, goth rock']","pop,rock,punk"
clipping.,MIDCITY,27-Feb-13,2013,8,"['sub pop', 'rap', 'hip hop', 'noise', 'spirituals', 'experimental hip hop', '8/10']","hip hop,pop,experimental"
strfkr,MIRACLE MILE,28-Feb-13,2013,3,"['polyvinyl', 'indie pop, synth pop, dance pop, psych pop']","pop,dance"
darkthrone,THE UNDERGROUND RESISTANCE,1-Mar-13,2013,6,"['peaceville', 'heavy metal, speed metal']",metal
czarface,CZARFACE ,4-Mar-13,2013,6,"['brick', 'east coast hip hop, boom bap']",hip hop
steven wilson,THE RAVEN THAT REFUSED TO SING (AND OTHER STORIES),5-Mar-13,2013,5,"['kscope', 'progressive rock']",rock
shlohmo,LAID OUT,5-Mar-13,2013,8,"['friends of friends', 'trap, contemporary r&b, alternative r&b, sad trap electronica magic, witch house', 'hip hop']","hip hop,r&b,electronic,house"
the men,NEW MOON,6-Mar-13,2013,4,"['sacred bones', 'alt-country, garage rock, psych rock, indie rock, kinda sorta folk rock with an attitude']","rock,folk,country"
autechre,EXAI,7-Mar-13,2013,8,"['warp', 'idm, glitch, experimental, irregular techno magic, sonic sorcery, drum \'n\' glitch, ambient, ""recks on"" has a bit of a hip hop flavor to it, too.']","hip hop,techno,ambient,experimental"
rhye,WOMAN,19-Mar-13,2013,6,"['polydor', 'sophisti-pop, indie pop, jazz pop, contemporary r&b, soul']","pop,r&b,soul,jazz"
nails,ABANDON ALL LIFE,20-Mar-13,2013,7,"['southern lord', 'powerviolence, hardcore punk, grindcore']",punk
the strokes,COMEDOWN MACHINE,21-Mar-13,2013,5,"['rca records', 'pop rock, garage rock, new wave, indie rock, disco indie synth stuff with falsetto vocals']","pop,rock"
dope body,SATURDAY,21-Mar-13,2013,7,"['drag city', 'sludge metal, psych rock, hardcore punk, party cock rock core']","rock,punk,metal"
david bowie,THE NEXT DAY,23-Mar-13,2013,7,"['columbia', 'art rock, glam rock, pop rock']","pop,rock"
justin timberlake,THE 20/20 EXPERIENCE,25-Mar-13,2013,5,"['20 experience', 'rca records', 'dance pop, contemporary r&b, neo-soul, pop']","pop,r&b,soul,dance"
ken mode,ENTRENCH,26-Mar-13,2013,7,"['season of mist', 'post-hardcore, noise rock, sludge metal']","rock,metal"
bonobo,THE NORTH BORDERS,27-Mar-13,2013,6,"['ninja tune', 'downtempo, future garage, nu jazz']",jazz
the drones,I SEE SEAWEED,27-Mar-13,2013,8,"['self-released, i think', 'garage rock, indie rock, psych rock, noise rock, experimental rock, singer-songwriter']","rock,experimental,singer-songwriter"
kvelertak,MEIR,28-Mar-13,2013,8,"['roadrunner', ""hardcore punk, heavy metal, rock 'n' roll, black metal""]","rock,punk,metal"
lapalux,NOSTALCHIC,29-Mar-13,2013,7,"['brainfeeder', 'wonky, future garage, contemporary r&b, psychedelic beat magic']","r&b,psychedelic"
wavves,AFRAID OF HEIGHTS,1-Apr-13,2013,6,"['mom + pop', 'pop punk, garage rock, alternative rock, grunge']","pop,rock,punk"
"tyler, the creator",WOLF,2-Apr-13,2013,6,"['self-released', 'west coast hip hop, jazz rap, west coast hip hop']","hip hop,jazz"
the mary onettes,HIT THE WAVES,3-Apr-13,2013,7,"['labrador', 'synth pop, dream pop, jangle pop, 80s nostalgia pop, have you ever heard of this band called ""the cure""?']",pop
the black heart rebellion,HAR NEVO,4-Apr-13,2013,7,"['smoke & dust records', 'psych rock, folk, post-metal, drone, experimental rock, post-rock']","rock,metal,experimental,folk"
the knife,SHAKING THE HABITUAL,7-Apr-13,2013,9,"['mute', 'electronic, experimental, techno, art pop, tech house, dark ambient']","pop,electronic,house,techno,ambient,experimental"
the flaming lips,THE TERROR,11-Apr-13,2013,6,"['warner bros.', 'neo-psychedelia, experimental rock, dream pop, ambient pop, kraut rock, space rock']","pop,ambient,rock,experimental"
thee oh sees,FLOATING COFFIN,17-Apr-13,2013,5,"['castle face', 'garage rock, lo-fi, garage punk, psychedelic rock, noise rock']","rock,punk,psychedelic"
phosphorescent,MUCHACHO,18-Apr-13,2013,6,"['dead oceans', 'americana, alt-country, folk, neo folk']","folk,country"
kurt vile,WAKING ON A PRETTY DAZE,19-Apr-13,2013,8,"['matador', 'folk rock, psychedelic folk, indie folk, dream folk magic, cloud folk']","rock,psychedelic,folk"
kid cudi,INDICUD,20-Apr-13,2013,2,"['g.o.o.d. music', 'pop rap, abstract hip hop']","hip hop,pop"
"ghostface killah<,>andrian younge",12 REASONS TO DIE,22-Apr-13,2013,8,"['soul temple', 'east coast hip hop, hardcore hip hop, soundtrack']","hip hop,soul"
yeah yeah yeahs,MOSQUITO,23-Apr-13,2013,5,"['polydor', 'indie rock, garage rock, art rock, neo-psychedelia']",rock
deerhunter,MONOMANIA,24-Apr-13,2013,6,"['4ad', 'noise rock, noise pop, psychedelic rock, neo-psychedelia, garage rock']","pop,rock,psychedelic"
colin stetson,NEW HISTORY WARFARE VOL. 3: TO SEE MORE LIGHT,26-Apr-13,2013,7,"['constellation', 'experimental, avant-garde jazz, post-minimalism']","jazz,experimental"
iggy and the stooges,READY TO DIE,28-Apr-13,2013,4,"['fat possum', ""garage rock, hard rock, punk rock, rock 'n' roll""]","rock,punk"
jenny hval,INNOCENCE IS KINKY,30-Apr-13,2013,7,"['rune grammofon', 'art pop, chamber pop, singer-songwriter, spoken word']","pop,singer-songwriter"
the haxan cloak,EXCAVATION,1-May-13,2013,8,"['tri angle records', 'dark ambient, ambient dub, drone']",ambient
savages,SILENCE YOURSELF,2-May-13,2013,8,"['matador', 'post-punk, gothic rock, punk rock, noise rock']","rock,punk"
r.a. the rugged man,LEGENDS NEVER DIE,4-May-13,2013,6,"['nature sounds', 'east coast hip hop, hardcore hip hop']",hip hop
chance the rapper,ACID RAP,7-May-13,2013,6,"['self-released', 'pop rap, jazz rap, juke', 'hip hop']","hip hop,pop,jazz"
altar of plagues, TEETHED GLORY AND INJURY,7-May-13,2013,9,['black metal'],metal
little women,LUNG,8-May-13,2013,6,"['aum fidelity', 'avant-garde jazz, noise rock, math rock']","jazz,rock"
phoenix,BANKRUPT!,9-May-13,2013,5,"['glassnote', 'indie pop, synth pop, indie rock, new wave']","pop,rock"
the uncluded,HOKEY FRIGHT,10-May-13,2013,7,"['rhymesayers entertainment', 'abstract hip hop, anti-folk, folk hop, experimental hip hop, singer-songwriter hip hop fusion magic']","hip hop,experimental,singer-songwriter,folk"
charli xcx,TRUE ROMANCE,13-May-13,2013,3,"['asylum', 'electropop, synth pop, dance pop']","pop,dance"
co la,MOODY COUP,14-May-13,2013,6,"['software recording co.', 'plunderphonics, wonky techno, glitch, vaporwave, disorienting samples']",techno
vampire weekend,MODERN VAMPIRES OF THE CITY,14-May-13,2013,7,"['xl', 'indie rock, indie pop, baroque pop, chamber pop']","pop,rock"
the dillinger escape plan,ONE OF US IS THE KILLER,16-May-13,2013,8,"['sumerian records', 'mathcore, metalcore, spazzcore, post-hardcore, riff mania, alternative metal']",metal
daft punk,RANDOM ACCESS MEMORIES,20-May-13,2013,8,"['disco, synth funk, smooth funk, aor, soft rock, progressive synth, electro-disco']","funk,rock"
the national,TROUBLE WILL FIND ME,21-May-13,2013,4,"['4ad', 'chamber pop, indie rock']","pop,rock"
anamanaguchi,ENDLESS FANTASY,22-May-13,2013,6,"['self-released', 'chiptune, power pop, house, electropop']","pop,house"
this routine is hell,HOWL,23-May-13,2013,8,"['cobra records, shield recordings, ruins records', 'punk rock, hardcore punk, sludge punk']","rock,punk"
classixx,HANGING GARDENS,24-May-13,2013,6,"['innovative leisure', 'house, synth pop, synth funk']","pop,house,funk"
travis scott,OWL PHARAOH,27-May-13,2013,3,"['epic, grand hustle', 'trap rap, pop rap, southern hip hop']","hip hop,pop"
the world is a beautiful place and i am no longer afraid to die,"WHENEVER, IF EVER",28-May-13,2013,7,"['topshelf records', 'emo, midwest emo, indie rock']",rock
baths,OBSIDIAN,29-May-13,2013,6,"['anticon.', 'glitch pop, chamber pop, synth pop, indie electronic']","pop,electronic"
quasimoto,YESSIRWHATEVER,30-May-13,2013,7,"['stones throw', 'abstract hip hop, boom bap, jazz rap, psych rap']","hip hop,jazz"
bibio,SILVER WILKINSON,31-May-13,2013,7,"['warp', 'folktronica, glitch pop, dream pop, dream folk, instrumental hip hop,']","hip hop,pop,folk"
deafheaven,SUNBATHER,31-May-13,2013,8,"['deathwish inc.', 'atmospheric black metal, post-rock, blackgaze, ambient, screamo']","ambient,rock,metal"
queens of the stone age,...LIKE CLOCKWORK,4-Jun-13,2013,9,"['matador records', 'alternative rock, stoner rock']",rock
cx kidtronik,KRAK ATTACK 2: THE BALLAD OF ELLI SKIFF,5-Jun-13,2013,6,"['stones throw', 'experimental hip hop, industrial hip hop, digital hardcore, drum machine metal that rips your face off']","hip hop,metal,experimental"
disclosure,SETTLE,5-Jun-13,2013,7,"['island records', 'uk garage, future garage, house, deep house,']",house
laura marling,ONCE I WAS AN EAGLE,7-Jun-13,2013,7,"['ribbon', 'singer-songwriter, contemporary folk']","singer-songwriter,folk"
thundercat,APOCALYPSE,10-Jun-13,2013,3,"['brainfeeder', 'jazz fusion, nu jazz, jazz-funk, contemporary r&b']","r&b,jazz,funk"
boards of canada,TOMORROW'S HARVEST,12-Jun-13,2013,6,"['warp', 'ambient, idm, progressive synth, progressive electronic, downtempo, ambient techno']","electronic,techno,ambient"
young fathers,TAPE TWO,13-Jun-13,2013,8,"['anticon.', 'experimental hip hop, abstract hip hop, african hip hop lo-fi noise fusion, post-hip hop, avant-neo-soul']","hip hop,soul,experimental"
mr. muthafuckin' exquire,KISMET,15-Jun-13,2013,7,"['self-released', 'hardcore hip hop, east coast hip hop, boom bap,']",hip hop
jon hopkins,IMMUNITY,17-Jun-13,2013,8,"['domino records', 'tech house, techno, micro house, ambient, glitchy dance magic, lofty post-house']","dance,house,techno,ambient"
kanye west,YEEZUS,18-Jun-13,2013,5,"['def jam', 'experimental hip hop, industrial hip hop, hardcore hip hop, auto-tuned noise hop. house hop']","hip hop,house,experimental"
melt yourself down,MELT YOURSELF DOWN ,19-Jun-13,2013,7,"['the leaf label', 'alternative funk jazz fusion, afrobeat, art punk, jazzrock, mediterranean horn punk']","jazz,funk,rock,punk"
zomby,WITH LOVE,21-Jun-13,2013,5,"['4ad', 'uk bass, trap, future garage, nocturnal breaks, moody electronica atmospheres', 'hip hop']","hip hop,electronic"
mac miller,WATCHING MOVIES WITH THE SOUND OFF,22-Jun-13,2013,6,"['rostrum', 'cloud rap, pop rap, hip hop, swag rapsz, mac miller-core, texture beatz']","hip hop,pop"
j. cole,BORN SINNER,25-Jun-13,2013,5,"['roc nation', 'pop rap, hardcore hip hop, conscious hip hop']","hip hop,pop"
smith westerns,SOFT WILL,26-Jun-13,2013,8,"['mom + pop', ""pop rock, indie pop, jangle pop, indie rock, sweet sweetness, dream pop (sorta), little bit of psych pop in there, crybaby rock, pink floyd xeroxes, george harrison was quite a guyy'all know this is just my opinion, right?""]","pop,rock"
locrian,RETURN TO ANNIHILATION,28-Jun-13,2013,6,"['relapse records', 'black metal, noise, experimental rock, drone, dark ambient, post-rock']","ambient,rock,metal,experimental"
kyary pamyu pamyu,NANDACOLLECTION,1-Jul-13,2013,8,"['warner music japan', 'pop, dance-pop, electropop, ""j-pop""']","pop,dance"
joey bada$$,SUMMER KNIGHTS,3-Jul-13,2013,7,"['self-released', 'east coast hip hop, hardcore hip hop, beast coast magic, jazz rap']","hip hop,jazz"
billy woods,DOUR CANDY,8-Jul-13,2013,7,"['backwoodz studioz', 'hardcore hip hop, abstract hip hop, grimy storytelling, blockhead instrumental magic, d.c. anonymity']",hip hop
run the jewels,RUN THE JEWELS ,8-Jul-13,2013,8,"[""fool's gold"", 'hardcore hip hop, abstract hip hop']",hip hop
jay,Z - MAGNA CARTA... HOLY GRAIL,9-Jul-13,2013,6,"['roc nation', 'east coast hip hop, pop rap, trap rap']","hip hop,pop"
james holden,THE INHERITORS,10-Jul-13,2013,7,"['border community', 'techno, microhouse, electroacoustic, ambient, progressive synth, idm']","house,techno,ambient"
autopsy,THE HEADLESS RITUAL,11-Jul-13,2013,6,"['peaceville', 'death metal, death doom metal, death and heavy metal fusions']",metal
mariam the believer,BLOOD DONATION,15-Jul-13,2013,8,"['repeat until death', 'art pop, soul, experimental rock, singer-songwriter']","pop,soul,rock,experimental,singer-songwriter"
yung lean,UNKNOWN DEATH 2002,17-Jul-13,2013,-1,"['year00001', 'rap', 'hip hop', 'cloud rap', 'alternative r&b', 'trap', 'ambient pop', '6/10']","hip hop,pop,r&b,ambient"
lycus,TEMPEST,17-Jul-13,2013,7,"['20 buck spin', 'funeral doom metal, doom metal, death metal growl magic, heavy as hell power ballad melodies']",metal
letlive.,THE BLACKEST BEAUTIFUL,18-Jul-13,2013,5,"['epitaph', 'post-hardcore and pop punk hybrid magic']","pop,punk"
stone titan,SCRATCH N' SNIFF,24-Jul-13,2013,8,"['safety meeting records', 'sludge metal, noise metal, extreme sludge magic, heavy psych, deadly sounds']",metal
fuck buttons,SLOW FOCUS,25-Jul-13,2013,6,"['atp recordings', 'electronic neo-psych, drone, experimental indie techno']","electronic,techno,experimental"
edward sharpe & the magnetic zeros,EDWARD SHARPE & THE MAGNETIC ZEROS ,29-Jul-13,2013,3,"['vagrant records', 'indie folk, indie pop, americana, vintage psychedelic pop']","pop,psychedelic,folk"
ka,THE NIGHT'S GAMBIT,31-Jul-13,2013,8,"['iron works records', 'east coast hip hop, minimal hip hop, hardcore hip hop, super quiet raps']",hip hop
alunageorge,BODY MUSIC,2-Aug-13,2013,7,"['island', 'dance-pop, contemporary r&b, pop, electropop, uk bass, future garage']","pop,r&b,dance"
candy claws,CERES & CALYPSO IN THE DEEP TIME,6-Aug-13,2013,7,"['two syllable records', 'dream pop, shoegaze, lo-fi, indie pop']",pop
dead in the dirt,THE BLIND HOLE,7-Aug-13,2013,6,"['southern lord', 'hardcore punk, powerviolence, sludge metal, crust punk, grindcore']","punk,metal"
tech n9ne,SOMETHING ELSE,8-Aug-13,2013,4,"['strange music', 'hardcore hip hop, pop rap, rap metal']","hip hop,pop,metal"
modern life is war,FEVER HUTNING,12-Aug-13,2013,7,"['deathwish inc.', 'hardcore punk, melodic hardcore']",punk
toad,ENDLESS NIGHT,13-Aug-13,2013,7,"['self-released', ""black metal, sludge metal, heavy metal, death 'n' roll""]",metal
washed out,PARACOSM,15-Aug-13,2013,6,"['sub pop', 'dream pop, neo-psychedelia, chillwave, synth pop, dream reggae']",pop
no age,AN OBJECT,17-Aug-13,2013,6,"['sub pop', 'art punk, noise rock, post-punk, lo-fi rock']","pop,rock,punk"
earl sweatshirt,DORIS,26-Aug-13,2013,6,"['columbia records', 'alternative hip hop, abstract hip hop (sorta), trapped & screwed bap jazz rap amalgamation, whisper raps']","hip hop,jazz"
julia holter,LOUD CITY SONG,26-Aug-13,2013,8,"['domino records', 'dream pop, art pop, chamber pop, progressive pop, experimental pop, dream jazz']","pop,jazz,experimental"
a$ap ferg,TRAP LORD,28-Aug-13,2013,7,"['trap rap', 'southern hip hop', 'memphis raps', 'cloud rap', 'post-bone thugs', 'swag raps']",hip hop
king krule,6 FEET BENEATH THE MOON,29-Aug-13,2013,7,"['xl', 'indie rock, indie pop, dream pop, reverb rock, vintage retro trip hop, slick singer-songwriter dude']","pop,rock,singer-songwriter"
dawn of midi,DYSNOMIA,30-Aug-13,2013,5,"['thirsty ear', 'minimalist groove jazz, electroacoustic repetition voodoo']",jazz
gorguts,COLORED SANDS,2-Sep-13,2013,8,"['season of mist', 'technical death metal, progressive death metal, atmospheric sludge metal, avant-garde metal']",metal
yc the cynic,GNK,3-Sep-13,2013,8,"['self-released', 'east coast hip hop, cloud rap, conscious hip hop, abstract hip hop, thoughtful raps, psych raps, heady wordplay magic']",hip hop
jonathan rado,LAW & ORDER,4-Sep-13,2013,4,"['woodsist', ""psychedelic pop, garage rock, synth pop, brit pop, mod rock, lo-fi rock 'n' roll""]","pop,rock,psychedelic"
holograms,FOREVER,4-Sep-13,2013,6,"['captured tracks', 'post-punk, synth punk']",punk
dizzy wright,THE GOLDEN AGE,5-Sep-13,2013,5,"['funk volume', 'pop rap, trap rap, jazz rap', 'hip hop']","hip hop,pop,jazz,funk"
arctic monkeys,AM,8-Sep-13,2013,3,"['domino records', 'indie rock, alternative rock']",rock
nine inch nails,HESITATION MARKS,9-Sep-13,2013,6,"['columbia', 'electro-industrial, industrial rock']",rock
